"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
59,"Bear Graceland","A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station",2006,1,4,2.99,160,20.99,"R","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'astound':4 'bear':1 'boy':11 'dog':8 'first':19 'graceland':2 'kill':14 'man':20 'must':13 'saga':5 'space':21 'station':22 'teacher':16"
61,"Beauty Grease","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",2006,1,5,4.99,175,28.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':21 'beauti':1 'compos':10 'display':7 'fast':5 'fast-pac':4 'greas':2 'mine':22 'moos':13 'must':15 'pace':6 'robot':18 'shaft':23 'sink':16"
64,"Beethoven Exorcist","A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico",2006,1,6,0.99,151,26.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'beethoven':1 'butler':16 'challeng':14 'display':5 'epic':4 'exorcist':2 'gulf':19 'mexico':21 'must':13 'pioneer':8 'student':11"
68,"Betrayed Rear","A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank",2006,1,5,4.99,122,26.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'betray':1 'boat':9 'charact':5 'emot':4 'explor':17 'find':15 'must':14 'pioneer':12 'rear':2 'shark':20 'studi':6 'tank':21"
70,"Bikini Borrowers","A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station",2006,1,7,4.99,142,26.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'astound':4 'astronaut':8 'bikini':1 'borrow':2 'cat':11 'discov':14 'drama':5 'first':19 'man':20 'must':13 'space':21 'station':22 'woman':16"
73,"Bingo Talented","A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria",2006,1,5,2.99,150,22.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'bingo':1 'crocodil':11 'discov':14 'girl':8 'must':13 'nigeria':18 'tale':5 'talent':2 'touch':4 'waitress':16"
74,"Birch Antitrust","A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon",2006,1,4,4.99,162,18.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'antitrust':2 'baloon':19 'birch':1 'dog':16 'fanci':4 'husband':8 'must':13 'outgun':14 'panorama':5 'pioneer':11"
75,"Bird Independence","A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies",2006,1,6,4.99,163,14.99,"G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'bird':1 'canadian':19 'car':8 'documentari':5 'hunter':16 'independ':2 'must':13 'rocki':20 'sink':14 'student':11 'thrill':4"
80,"Blanket Beverly","A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria",2006,1,7,2.99,148,21.99,"G","2013-05-26 14:50:58.951","{Trailers}","'bever':2 'blanket':1 'boat':16 'build':14 'documentari':5 'emot':4 'girl':11 'must':13 'nigeria':18 'student':8"
86,"Boogie Amelie","A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico",2006,1,6,4.99,121,11.99,"R","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'ameli':2 'boogi':1 'charact':5 'gulf':22 'husband':9 'lacklustur':4 'mexico':24 'must':15 'studi':6 'succumb':16 'sumo':12 'technic':18 'wrestler':13 'writer':19"
88,"Born Spinal","A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria",2006,1,7,4.99,179,17.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'born':1 'epistl':5 'frisbe':8 'husband':11 'must':13 'nigeria':18 'pursu':14 'spinal':2 'student':16 'touch':4"
93,"Brannigan Sunrise","A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin",2006,1,4,4.99,121,27.99,"PG","2013-05-26 14:50:58.951","{Trailers}","'amaz':4 'berlin':18 'brannigan':1 'crocodil':11 'dog':16 'epistl':5 'moos':8 'must':13 'outrac':14 'sunris':2"
94,"Braveheart Human","A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin",2006,1,7,2.99,176,14.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'battl':15 'berlin':19 'braveheart':1 'chef':12 'dog':8 'girl':17 'human':2 'insight':4 'must':14 'pastri':11 'stori':5"
95,"Breakfast Goldfinger","A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin",2006,1,5,4.99,123,18.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'beauti':4 'berlin':18 'breakfast':1 'fight':14 'goldfing':2 'moos':16 'must':13 'reflect':5 'student':8,11"
96,"Breaking Home","A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft",2006,1,4,2.99,169,21.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':21 'agent':9 'battl':15 'beauti':4 'break':1 'display':5 'home':2 'mine':22 'monkey':12 'must':14 'secret':8 'shaft':23 'sumo':17 'wrestler':18"
99,"Bringing Hysterical","A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat",2006,1,7,2.99,136,14.99,"PG","2013-05-26 14:50:58.951","{Trailers}","'boat':22 'bring':1 'fate':4 'find':16 'hyster':2 'jet':21 'must':15 'saga':5 'shark':9 'technic':12 'woman':18 'writer':13"
100,"Brooklyn Desert","A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station",2006,1,7,4.99,161,21.99,"R","2013-05-26 14:50:58.951","{Commentaries}","'battl':14 'beauti':4 'brooklyn':1 'compos':11 'dentist':8 'desert':2 'drama':5 'first':20 'man':21 'must':13 'space':22 'station':23 'sumo':16 'wrestler':17"
103,"Bucket Brotherhood","A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory",2006,1,7,4.99,133,27.99,"PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'amaz':4 'baloon':19 'brotherhood':2 'bucket':1 'display':5 'factori':20 'girl':8 'lumberjack':16 'must':13 'succumb':14 'woman':11"
104,"Bugsy Song","A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station",2006,1,4,2.99,119,17.99,"G","2013-05-26 14:50:58.951","{Commentaries}","'agent':12 'awe':5 'awe-inspir':4 'boat':15 'bugsi':1 'charact':7 'find':18 'first':23 'inspir':6 'man':24 'must':17 'secret':11 'song':2 'space':25 'squirrel':20 'station':26 'studi':8"
105,"Bull Shawshank","A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies",2006,1,6,0.99,125,21.99,"NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'bull':1 'canadian':19 'conquer':14 'drama':5 'fanci':4 'moos':8 'must':13 'pioneer':16 'rocki':20 'shawshank':2 'squirrel':11"
112,"Calendar Gunfight","A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria",2006,1,4,4.99,120,22.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'calendar':1 'drama':5 'frisbe':8 'gunfight':2 'lumberjack':11 'man':16 'must':13 'nigeria':18 'sink':14 'thrill':4"
115,"Campus Remember","A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat",2006,1,5,2.99,167,27.99,"R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'astound':4 'boat':21 'build':15 'campus':1 'cow':12 'crocodil':8 'drama':5 'jet':20 'mad':11 'must':14 'rememb':2 'robot':17"
117,"Candles Grapes","A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House",2006,1,6,4.99,135,15.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':20 'astronaut':17 'build':15 'candl':1 'charact':5 'explor':12 'fanci':4 'fun':21 'grape':2 'hous':22 'monkey':9 'must':14 'studi':6"
119,"Caper Motions","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention",2006,1,6,0.99,176,22.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'caper':1 'car':11 'convent':20 'fate':4 'moos':8 'motion':2 'must':13 'mysql':19 'pursu':14 'saga':5 'woman':16"
121,"Carol Texas","A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery",2006,1,4,2.99,151,15.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'astound':4 'carol':1 'charact':5 'compos':9,17 'monasteri':20 'must':14 'overcom':15 'student':12 'studi':6 'texa':2"
124,"Casper Dragonfly","A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert",2006,1,3,4.99,163,16.99,"PG-13","2013-05-26 14:50:58.951","{Trailers}","'boat':8 'casper':1 'chase':14 'crocodil':11 'desert':20 'documentari':5 'dragonfli':2 'intrepid':4 'must':13 'robot':16 'sahara':19"
128,"Catch Amistad","A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria",2006,1,7,0.99,183,10.99,"G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'amistad':2 'bore':4 'catch':1 'discov':14 'feminist':11 'lumberjack':8 'must':13 'nigeria':18 'reflect':5 'woman':16"
129,"Cause Date","A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention",2006,1,3,2.99,179,16.99,"R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'caus':1 'chef':12 'conquer':15 'convent':21 'date':2 'explor':8 'hunter':17 'must':14 'mysql':20 'pastri':11 'tale':5 'taut':4"
131,"Center Dinosaur","A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California",2006,1,5,4.99,152,12.99,"PG","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'beauti':4 'california':20 'center':1 'charact':5 'dentist':13 'dinosaur':2 'dog':18 'find':16 'must':15 'studi':6 'sumo':9 'wrestler':10"
136,"Chaplin License","A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India",2006,1,7,2.99,146,26.99,"NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'ancient':19 'bore':4 'chaplin':1 'dog':8 'drama':5 'explor':17 'forens':11 'india':20 'licens':2 'must':14 'outrac':15 'psychologist':12"
141,"Chicago North","A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California",2006,1,6,4.99,185,11.99,"PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'battl':15 'california':19 'chicago':1 'cow':9 'fate':4 'mad':8 'must':14 'north':2 'student':17 'waitress':12 'yarn':5"
142,"Chicken Hellfighters","A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia",2006,1,3,0.99,122,24.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'australia':19 'chicken':1 'dog':8 'drama':5 'emot':4 'explor':11 'hellfight':2 'must':13 'outrac':14 'technic':16 'writer':17"
143,"Chill Luck","A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies",2006,1,6,0.99,142,17.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'boat':8 'canadian':21 'chill':1 'epistl':5 'fight':15 'lacklustur':4 'luck':2 'must':14 'rocki':22 'shark':18 'technic':11 'writer':12"
145,"Chisum Behavior","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",2006,1,5,4.99,124,25.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':19 'behavior':2 'butler':12 'car':17 'chisum':1 'documentari':5 'epic':4 'india':20 'kill':15 'must':14 'sumo':8 'wrestler':9"
148,"Chocolate Duck","A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China",2006,1,3,2.99,132,13.99,"R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':20 'china':21 'chocol':1 'compos':18 'discov':16 'duck':2 'mad':8 'must':15 'scientist':9 'stori':5 'technic':12 'unbeliev':4 'writer':13"
149,"Christmas Moonshine","A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse",2006,1,7,0.99,150,21.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'action':5 'action-pack':4 'astronaut':13 'boat':18 'christma':1 'conquer':16 'epistl':7 'feminist':10 'manhattan':21 'moonshin':2 'must':15 'pack':6 'penthous':22"
151,"Cincinatti Whisperer","A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin",2006,1,5,4.99,143,26.99,"NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'berlin':19 'brilliant':4 'butler':17 'chef':9 'cincinatti':1 'confront':15 'hunter':12 'must':14 'pastri':8 'saga':5 'whisper':2"
153,"Citizen Shrek","A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback",2006,1,7,0.99,165,18.99,"G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'charact':5 'citizen':1 'fanci':4 'husband':13 'must':15 'outback':21 'redeem':16 'robot':18 'shrek':2 'studi':6 'technic':9 'writer':10"
155,"Cleopatra Devil","A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon",2006,1,6,0.99,150,26.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'baloon':21 'cleopatra':1 'crocodil':8 'devil':2 'documentari':5 'fanci':4 'fight':15 'must':14 'shark':18 'technic':11 'writer':12"
156,"Clerks Angels","A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon",2006,1,3,4.99,164,15.99,"G","2013-05-26 14:50:58.951","{Commentaries}","'angel':2 'baloon':20 'clerk':1 'confront':15 'display':5 'girl':12 'man':17 'must':14 'sumo':8 'thrill':4 'wrestler':9"
157,"Clockwork Paradise","A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon",2006,1,7,0.99,143,29.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'baloon':20 'cat':17 'challeng':15 'clockwork':1 'documentari':5 'feminist':12 'insight':4 'must':14 'paradis':2 'technic':8 'writer':9"
158,"Clones Pinocchio","A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans",2006,1,6,2.99,124,16.99,"R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'amaz':4 'car':8 'clone':1 'dentist':16 'drama':5 'must':13 'new':18 'orlean':19 'pinocchio':2 'pursu':14 'robot':11"
163,"Clyde Theory","A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat",2006,1,4,0.99,139,29.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'astronaut':8 'beauti':4 'boat':20 'clyde':1 'explor':16 'frisbe':11 'jet':19 'must':13 'overcom':14 'theori':2 'yarn':5"
166,"Color Philadelphia","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert",2006,1,6,2.99,149,19.99,"G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'car':8 'color':1 'crocodil':11 'desert':20 'monkey':16 'must':13 'panorama':5 'philadelphia':2 'sahara':19 'sink':14 'thought':4"
170,"Command Darling","A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan",2006,1,5,4.99,120,28.99,"PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'administr':20 'ancient':22 'awe':5 'awe-inspir':4 'challeng':17 'command':1 'darl':2 'databas':19 'forens':10 'inspir':6 'japan':23 'must':16 'psychologist':11 'tale':7 'woman':14"
